Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,Rotation_Vector.x,Rotation_Vector.y,Rotation_Vector.z,GPS.lat,GPS.long,GPS.alt
0.86422443,0.22973108,1.661541,0.012973656,0.16424851,0.8903847,13.01735501,77.56816829,857
0.3238392,0.23691773,1.6526194,0.015850034,0.16055769,0.89042646,13.01735501,77.56816829,857
-1.202685,0.23250604,0.56878567,0.015416054,0.15759557,0.88940686,13.01735501,77.56816829,857
-1.4508079,0.3311708,-0.42911243,0.012803796,0.16072197,0.88820136,13.01735501,77.56816829,857
-0.39583063,0.19402671,-1.0224619,0.01317571,0.16325974,0.88713497,13.01735501,77.56816829,857
0.06640804,0.3357463,-1.132041,0.019693766,0.1639033,0.88607395,13.01735501,77.56816829,857
-0.096135795,0.5955689,-0.69271755,0.024520718,0.16409063,0.88519526,13.01735501,77.56816829,857
-0.48968577,0.68892074,-0.2860651,0.027862493,0.16456361,0.8845089,13.01735501,77.56816829,857
-0.7175728,0.47633648,-0.37287998,0.03163723,0.16449556,0.8840563,13.01735501,77.56816829,857
-0.65342796,0.2240169,-0.716836,0.033016957,0.16402614,0.8841315,13.01735501,77.56816829,857
-0.26512057,0.03343606,-0.5903053,0.036382426,0.16188024,0.8845227,13.01735501,77.56816829,857
0.550501,-0.06906605,0.3801689,0.043095957,0.15548517,0.8856993,13.01735501,77.56816829,857
1.0448034,-0.3439536,1.1175117,0.051267877,0.14628129,0.88726175,13.01735501,77.56816829,857
0.8478795,-0.39237046,1.2137232,0.05635922,0.14049926,0.8878756,13.01735501,77.56816829,857
0.57244855,-0.4099307,1.3570156,0.05844561,0.13798693,0.8881337,13.01735501,77.56816829,857
-0.29393807,-0.45444274,1.2997341,0.06345524,0.13235167,0.88860375,13.01735501,77.56816829,857
-0.54841256,-0.5198977,0.6858635,0.06502259,0.1310864,0.8887492,13.01735501,77.56816829,857
-0.42310706,-0.42152,-0.10441685,0.070723526,0.1286464,0.889008,13.01735501,77.56816829,857
